Time,Signal
51856.52,306
51859.36,296
51862.21,278
51865.05,256
51867.89,243
51870.73,244
51873.57,256
51876.42,275
51879.27,305
51882.12,357
51884.96,442
51887.81,555
51890.66,645
51893.5,645
51896.34,602
51899.18,507
51902.03,398
51904.87,305
51907.72,252
51910.56,224
51913.41,210
51916.26,210
51919.1,217
51921.94,230
51924.78,252
51927.62,266
51930.47,272
51933.32,273
51936.16,271
51939.01,273
51941.85,276
51944.69,282
51947.53,274
51950.37,269
51953.22,269
51956.07,274
51958.91,280
51961.75,285
51964.6,281
51967.45,280
51970.3,283
51973.14,290
51975.98,299
51978.82,298
51981.66,295
51984.51,291
51987.35,293
51990.2,305
51993.05,311
51995.89,310
51998.73,304
52001.57,301
52004.41,304
52007.26,314
52010.1,321
52012.94,320
52015.78,312
52018.63,309
52021.48,316
52024.32,322
52027.17,327
52030.01,326
52032.85,319
52035.7,317
52038.54,321
52041.39,330
52044.23,332
52047.08,326
52049.91,322
52052.76,318
52055.61,321
52058.46,331
52061.3,330
52064.14,326
52066.99,322
52069.83,318
52072.68,323
52075.52,334
52078.37,337
52081.21,326
52084.06,323
52086.9,320
52089.74,326
52092.59,334
52095.44,339
52098.29,333
52101.13,324
52103.97,326
52106.82,333
52109.66,345
52112.51,344
52115.35,340
52118.2,338
52121.05,340
52123.89,347
52126.73,355
52129.57,351
52132.41,348
52135.26,338
52138.11,341
52140.95,348
52143.8,350
52146.65,347
52149.5,334
52152.33,330
52155.17,334
52158.01,340
52160.85,340
52163.69,339
52166.53,327
52169.38,324
52172.22,326
52175.07,335
52177.9,336
52180.73,329
52183.58,319
52186.43,320
52189.26,327
52192.1,332
52194.95,331
52197.8,327
52200.64,322
52203.48,323
52206.33,331
52209.17,336
52212.02,337
52214.85,331
52217.69,326
52220.53,328
52223.37,334
52226.22,341
52229.06,340
52231.9,334
52234.74,329
52237.59,331
52240.43,338
52243.27,342
52246.12,340
52248.97,335
52251.82,330
52254.66,337
52257.5,342
52260.34,351
52263.19,346
52266.03,340
52268.86,333
52271.7,340
52274.54,347
52277.39,347
52280.23,348
52283.08,338
52285.92,334
52288.77,338
52291.61,344
52294.45,347
52297.3,342
52300.14,334
52302.99,335
52305.83,337
52308.68,342
52311.53,347
52314.37,343
52317.21,334
52320.05,333
52322.89,339
52325.73,344
52328.58,345
52331.42,340
52334.27,332
52337.12,335
52339.97,341
52342.81,343
52345.65,342
52348.5,335
52351.33,326
52354.18,329
52357.02,337
52359.86,344
52362.71,343
52365.56,337
52368.4,330
52371.24,331
52374.09,339
52376.93,344
52379.78,340
52382.62,336
52385.46,327
52388.31,331
52391.16,338
52394,338
52396.83,336
52399.68,328
52402.53,322
52405.37,327
52408.21,336
52411.06,337
52413.9,335
52416.74,328
52419.59,330
52422.43,334
52425.28,342
52428.13,340
52430.98,334
52433.82,330
52436.66,327
52439.51,332
52442.36,339
52445.2,338
52448.04,336
52450.88,326
52453.72,326
52456.57,333
52459.41,342
52462.26,342
52465.1,335
52467.95,331
52470.79,330
52473.63,339
52476.48,342
52479.33,344
52482.17,340
52485.01,340
52487.85,342
52490.69,351
52493.53,350
52496.37,348
52499.22,341
52502.07,335
52504.91,337
52507.75,349
52510.59,356
52513.44,356
52516.29,351
52519.14,343
52521.98,346
52524.82,351
52527.66,348
52530.51,340
52533.35,333
52536.19,326
52539.04,332
52541.88,336
52544.72,337
52547.56,334
52550.39,322
52553.24,319
52556.09,325
52558.91,332
52561.75,331
52564.6,330
52567.44,325
52570.29,323
52573.13,331
52575.98,338
52578.82,339
52581.66,331
52584.5,321
52587.34,322
52590.19,332
52593.04,339
52595.88,336
52598.72,334
52601.57,324
52604.41,329
52607.26,332
52610.1,343
52612.94,336
52615.78,326
52618.62,307
52621.47,298
52624.31,297
52627.16,295
52630.01,292
52632.85,287
52635.69,298
52638.53,338
52641.37,412
52644.22,517
52647.07,636
52649.9,647
52652.74,646
52655.59,649
52658.44,628
52661.28,525
52664.12,405
52666.97,308
52669.82,261
52672.66,257
52675.5,273
52678.34,295
52681.19,303
52684.04,317
52686.87,327
52689.71,335
52692.56,343
52695.41,337
52698.26,326
52701.1,320
52703.94,317
52706.79,321
52709.64,327
52712.48,325
52715.32,319
52718.17,316
52721.01,317
52723.85,327
52726.69,331
52729.54,330
52732.39,321
52735.24,321
52738.08,323
52740.91,329
52743.76,334
52746.61,331
52749.46,324
52752.3,323
52755.14,325
52757.99,331
52760.84,338
52763.68,330
52766.52,325
52769.37,325
52772.21,326
52775.06,331
52777.89,340
52780.73,334
52783.58,327
52786.43,325
52789.27,326
52792.11,338
52794.96,335
52797.81,334
52800.66,332
52803.5,326
52806.33,334
52809.17,339
52812.02,342
52814.85,332
52817.69,328
52820.53,330
52823.38,337
52826.23,344
